country_name,country_code,region,happy_rank,happy_score,happy_dec,happy_gdpc,gdpc_change,happy_supp,happy_health,happy_free,happy_gen,happy_trust,wb_pov,wb_unemp,wb_elec,wb_renew,wb_hom,wb_debt
Tanzania,TZA,Sub-Saharan Africa,153,3.231,1,0.476,0.044,0.885,0.499,0.417,0.276,0.15,,2.21,37.70,83.54,4.54,
Thailand,THA,Southeastern Asia,52,6.008,7,1.050,0.032,1.409,0.828,0.557,0.359,0.03,0.10,0.72,99.90,23.95,,40.14
Togo,TGO,Sub-Saharan Africa,139,4.085,2,0.275,0.058,0.572,0.410,0.293,0.177,0.09,,3.71,52.46,76.20,,
Trinidad & Tobago,TTO,Sub-Saharan Africa,39,6.192,8,1.231,0.006,1.477,0.713,0.489,0.185,0.02,,3.52,100.00,0.43,35.46,
Tunisia,TUN,Middle East and Northern Africa,124,4.461,3,0.921,0.023,1.000,0.815,0.167,0.059,0.06,,15.13,100.00,12.19,4.74,
Turkey,TUR,Middle East and Northern Africa,79,5.373,5,1.183,0.030,1.360,0.808,0.195,0.083,0.11,0.40,13.67,100.00,14.12,2.42,34.13
Turkmenistan,TKM,Central and Eastern Europe,87,5.247,5,1.052,0.034,1.538,0.657,0.394,0.244,0.03,,4.23,99.90,0.06,,
Uganda,UGA,Sub-Saharan Africa,136,4.189,2,0.332,0.030,1.069,0.443,0.356,0.252,0.06,42.20,3.55,41.30,91.62,10.99,38.48
Ukraine,UKR,Central and Eastern Europe,133,4.332,2,0.820,0.033,1.390,0.739,0.178,0.187,0.01,,8.19,100.00,7.44,4.12,48.33
United Arab Emirates,ARE,Middle East and Northern Africa,21,6.825,9,1.503,-0.395,1.310,0.825,0.598,0.262,0.18,,2.33,100.00,0.67,0.70,
United Kingdom,GBR,Western Europe,15,7.054,10,1.333,0.067,1.538,0.996,0.450,0.348,0.28,0.50,3.74,100.00,11.39,1.15,160.02
United States,USA,North America,19,6.892,9,1.433,0.024,1.457,0.874,0.454,0.280,0.13,1.00,3.67,100.00,10.42,4.99,100.81
Uruguay,URY,Latin America and Caribbean,33,6.293,8,1.124,0.028,1.465,0.891,0.523,0.127,0.15,0.10,8.73,99.90,59.34,11.49,50.27
Uzbekistan,UZB,Central and Eastern Europe,41,6.174,8,0.745,0.035,1.529,0.756,0.631,0.322,0.24,,5.86,100.00,1.56,1.20,
Venezuela,VEN,Latin America and Caribbean,108,4.707,4,0.960,-0.038,1.427,0.805,0.154,0.064,0.05,,5.09,99.84,15.77,40.99,
Vietnam,VNM,Southeastern Asia,94,5.175,4,0.741,0.035,1.346,0.851,0.543,0.147,0.07,,1.68,99.40,20.65,,
Yemen,YEM,Middle East and Northern Africa,151,3.380,1,0.287,-0.540,1.163,0.463,0.143,0.108,0.08,,12.98,72.78,3.01,,
Zambia,ZMB,Sub-Saharan Africa,138,4.107,2,0.578,0.028,1.058,0.426,0.431,0.247,0.09,,5.54,43.00,81.48,,61.93
Zimbabwe,ZWE,Sub-Saharan Africa,146,3.663,1,0.366,0.025,1.114,0.433,0.361,0.151,0.09,39.80,7.37,46.68,81.52,5.15,
